St James Pl & Pearl St
Rivington St & Ridge St
Lafayette St & E 8 St
Metropolitan Ave & Bedford Ave
W 20 St & 11 Ave
Grand Army Plaza & Central Park S
Centre St & Worth St
W 13 St & 7 Ave
DeKalb Ave & Hudson Ave
Washington St & Gansevoort St
9 Ave & W 22 St
10 Ave & W 28 St
Allen St & E Houston St
W 21 St & 6 Ave
1 Ave & E 30 St
Washington Pl & Broadway
W 33 St & 7 Ave
Centre St & Chambers St
Shevchenko Pl & E 6 St
1 Ave & E 15 St
W Broadway & Spring St
E 24 St & Park Ave S
Carmine St & 6 Ave
Barrow St & Hudson St
E 2 St & 2 Ave
Front St & Gold St
9 Ave & W 45 St
University Pl & E 14 St
Emerson Pl & Myrtle Ave
Dean St & 4 Ave
W 41 St & 8 Ave
West St & Chambers St
Lexington Ave & E 26 St
Grand St & Havemeyer St
Lexington Ave & E 24 St
8 Ave & W 33 St
Jay St & Tech Pl
E 3 St & 1 Ave
Howard St & Centre St
W 4 St & 7 Ave S
Mott St & Prince St
E 2 St & Avenue B
Park Pl & Church St
2 Ave & E 31 St
Willoughby St & Fleet St
Great Jones St
Avenue D & E 8 St
Broadway & W 41 St
Cadman Plaza West & Montague St
W 51 St & 6 Ave
E 20 St & 2 Ave
Cumberland St & Lafayette Ave
E 11 St & 2 Ave
Cliff St & Fulton St
W 20 St & 7 Ave
E 43 St & Vanderbilt Ave
Division St & Bowery
E 20 St & Park Ave
W 53 St & 10 Ave
Watts St & Greenwich St
W 26 St & 8 Ave
E 32 St & Park Ave
Norfolk St & Broome St
St Marks Pl & 1 Ave
Broadway & W 53 St
LaGuardia Pl & W 3 St
8 Ave & W 52 St
DeKalb Ave & Vanderbilt Ave
Broadway & E 14 St
E 23 St & 1 Ave
E 30 St & Park Ave S
E 12 St & 3 Ave
W 22 St & 10 Ave
E 16 St & 5 Ave
St Marks Pl & 2 Ave
E 56 St & 3 Ave
Washington Pl & 6 Ave
Broadway & W 32 St
Elizabeth St & Hester St
Rivington St & Chrystie St
Mercer St & Spring St
W 13 St & 6 Ave
W 11 St & 6 Ave
Broadway & W 24 St
E 7 St & Avenue A
Allen St & Rivington St
Ashland Pl & Hanson Pl
Broadway & W 51 St
Washington Ave & Greene Ave
Macon St & Nostrand Ave
W 37 St & 10 Ave
9 Ave & W 14 St
6 Ave & W 33 St
Sullivan St & Washington Sq
